Budget,Threshold,Precision,Recall,F1,Actual FPR,False alerts per 1000,TN,FP,FN,TP
0.5% budget,0.5676495685072951,0.9494341439922948,0.6088634959851761,0.7419324489603913,0.039729729729729726,39.729729729729726,35530,1470,17731,27601
1% budget,0.5460537691550149,0.9400793117354483,0.6170696196946969,0.745072448327296,0.04818918918918919,48.18918918918919,35217,1783,17359,27973
3% budget,0.4966390963721801,0.9050326384502,0.6636812847436689,0.7657906458797328,0.08532432432432432,85.32432432432432,33843,3157,15246,30086
