Budget,Threshold,Precision,Recall,F1,Actual FPR,False alerts per 1000,TN,FP,FN,TP
0.5% budget,0.715225019931776,0.9072018410721537,0.2956631077384629,0.4459787708381859,0.037054054054054056,37.054054054054056,35629,1371,31929,13403
1% budget,-5.3313550321087755e-05,0.8938628578064216,0.3396055766346069,0.4922068579649908,0.0494054054054054,49.4054054054054,35172,1828,29937,15395
3% budget,-1.0914602100972197,0.87268254908213,0.4226153710403247,0.5694582745039757,0.07554054054054055,75.54054054054055,34205,2795,26174,19158
