Budget,Threshold,Precision,Recall,F1,Actual FPR,False alerts per 1000,TN,FP,FN,TP
0.5% budget,1.9827458421041482,0.9319634430440237,0.34417188740845317,0.5026984357127898,0.030783783783783783,30.783783783783782,35861,1139,29730,15602
1% budget,1.8009945299909127,0.9364157281169729,0.5227212565075443,0.6709231705763269,0.04348648648648649,43.48648648648649,35391,1609,21636,23696
3% budget,1.476140406733413,0.9048931771192281,0.7530662666549016,0.8220279804473982,0.09697297297297297,96.97297297297297,33412,3588,11194,34138
